"","endtime","up_down","end_fitness","status","B_V","C_V","p_val","mu_M","alpha_1","R_Modifier"
"1255",34.3,"up",14.2778635467599,"success",75,0.1,1,30,1,1
"1256",33.6,"up",14.0798070012794,"success",76,0.1,1,30,1,1
"1257",33,"up",13.8883454916434,"success",77,0.1,1,30,1,1
"1258",32.4,"up",13.6974720326727,"success",78,0.1,1,30,1,1
"1259",31.8,"up",13.5080933296609,"success",79,0.1,1,30,1,1
"1260",31.2,"up",13.3209487273886,"success",80,0.1,1,30,1,1
"1261",30.7,"up",13.1424607946034,"success",81,0.1,1,30,1,1
"1262",30.2,"up",12.9667901254793,"success",82,0.1,1,30,1,1
"1263",29.7,"up",12.7942838439969,"success",83,0.1,1,30,1,1
"1264",29.2,"up",12.625184575632,"success",84,0.1,1,30,1,1
"1265",28.8,"up",12.4648044959324,"success",85,0.1,1,30,1,1
"1266",28.4,"up",12.3078142859462,"success",86,0.1,1,30,1,1
"1267",28,"up",12.1542778921502,"success",87,0.1,1,30,1,1
"1268",27.6,"up",12.0042876374049,"success",88,0.1,1,30,1,1
"1269",27.2,"up",11.8578274142257,"success",89,0.1,1,30,1,1
"1270",26.9,"up",11.7193111839299,"success",90,0.1,1,30,1,1
"1271",26.5,"up",11.5798024094806,"success",91,0.1,1,30,1,1
"1272",26.2,"up",11.4479044229009,"success",92,0.1,1,30,1,1
"1273",25.9,"up",11.319209940324,"success",93,0.1,1,30,1,1
"1274",25.6,"up",11.1936847300433,"success",94,0.1,1,30,1,1
"1275",25.3,"up",11.0712367492966,"success",95,0.1,1,30,1,1
"1276",25,"up",10.9518085809256,"success",96,0.1,1,30,1,1
"1277",24.7,"up",10.835369591718,"success",97,0.1,1,30,1,1
"1278",24.5,"up",10.7253695906154,"success",98,0.1,1,30,1,1
"1279",24.2,"up",10.6145275356799,"success",99,0.1,1,30,1,1
"1280",23.9,"up",10.5064409247919,"success",100,0.1,1,30,1,1
"1281",34.6,"up",14.3755142883075,"success",60,0.1,1.25,30,1,1
"1282",33.7,"up",14.1258215702603,"success",61,0.1,1.25,30,1,1
"1283",32.9,"up",13.882606601174,"success",62,0.1,1.25,30,1,1
"1284",32.2,"up",13.6472728706095,"success",63,0.1,1.25,30,1,1
"1285",31.4,"up",13.4083141698758,"success",64,0.1,1.25,30,1,1
"1286",30.8,"up",13.1855283985341,"success",65,0.1,1.25,30,1,1
"1287",30.1,"up",12.9612830937586,"success",66,0.1,1.25,30,1,1
"1288",29.5,"up",12.7478457204785,"success",67,0.1,1.25,30,1,1
"1289",29,"up",12.5449482051195,"success",68,0.1,1.25,30,1,1
"1290",28.5,"up",12.3472886069741,"success",69,0.1,1.25,30,1,1
"1291",28,"up",12.1550187301851,"success",70,0.1,1.25,30,1,1
"1292",27.5,"up",11.9682890489541,"success",71,0.1,1.25,30,1,1
"1293",27,"up",11.7870822516414,"success",72,0.1,1.25,30,1,1
"1294",26.6,"up",11.6157361279834,"success",73,0.1,1.25,30,1,1
