"","time","R","G","B_V","C_V","initialvalue","p_val","mu_M","R_modifier","alpha_1","infection_length"
"215",21.4,2883857.65838885,996.904446725762,5,0.1,4385.965,1,1,1,1,NA
"216",21.5,2905603.26576727,970.727252316457,5,0.1,4385.965,1,1,1,1,NA
"217",21.6,2927286.45768751,945.691378537946,5,0.1,4385.965,1,1,1,1,NA
"218",21.7,2948908.45602066,921.612475543015,5,0.1,4385.965,1,1,1,1,NA
"219",21.8,2970469.51566779,898.451759839555,5,0.1,4385.965,1,1,1,1,NA
"220",21.9,2991968.36378259,876.290988134692,5,0.1,4385.965,1,1,1,1,NA
"221",22,3013402.24351162,855.268951049955,5,0.1,4385.965,1,1,1,1,NA
"222",22.1,3034767.50833041,835.504762567676,5,0.1,4385.965,1,1,1,1,NA
"223",22.2,3056060.52321685,817.035786565137,5,0.1,4385.965,1,1,1,1,NA
"224",22.3,3077278.52725374,799.790713355931,5,0.1,4385.965,1,1,1,1,NA
"225",22.4,3098420.16882478,783.604365681584,5,0.1,4385.965,1,1,1,1,NA
"226",22.5,3119485.51325768,768.265742122988,5,0.1,4385.965,1,1,1,1,NA
"227",22.6,3140475.57808475,753.579775320358,5,0.1,4385.965,1,1,1,1,NA
"228",22.7,3161391.55243947,739.419946281116,5,0.1,4385.965,1,1,1,1,NA
"229",22.8,3182234.02596146,725.753812116325,5,0.1,4385.965,1,1,1,1,NA
"230",22.9,3203002.47329694,712.634337182135,5,0.1,4385.965,1,1,1,1,NA
"231",23,3223695.18361972,700.16245880293,5,0.1,4385.965,1,1,1,1,NA
"232",23.1,3244309.63308801,688.436061486113,5,0.1,4385.965,1,1,1,1,NA
"233",23.2,3264843.12970247,677.504294961165,5,0.1,4385.965,1,1,1,1,NA
"234",23.3,3285293.52478825,667.342934967329,5,0.1,4385.965,1,1,1,1,NA
"235",23.4,3305659.67427065,657.858109709278,5,0.1,4385.965,1,1,1,1,NA
"236",23.5,3325941.56421939,648.915149655105,5,0.1,4385.965,1,1,1,1,NA
"237",23.6,3346140.0024013,640.380676635108,5,0.1,4385.965,1,1,1,1,NA
"238",23.7,3366256.05502186,632.162120891335,5,0.1,4385.965,1,1,1,1,NA
"239",23.8,3386290.42000758,624.230759820596,5,0.1,4385.965,1,1,1,1,NA
"240",23.9,3406242.95121628,616.621066008567,5,0.1,4385.965,1,1,1,1,NA
"241",24,3426112.53735963,609.408007274775,5,0.1,4385.965,1,1,1,1,NA
"242",24.1,3445897.31607729,602.671636819309,5,0.1,4385.965,1,1,1,1,NA
"243",24.2,3465595.16644944,596.462296092202,5,0.1,4385.965,1,1,1,1,NA
"244",24.3,3485204.29086622,590.778772566533,5,0.1,4385.965,1,1,1,1,NA
"245",24.4,3504723.63687193,585.566430321952,5,0.1,4385.965,1,1,1,1,NA
"246",24.5,3524153.06692316,580.734987620039,5,0.1,4385.965,1,1,1,1,NA
"247",24.6,3543493.18235846,576.188297026598,5,0.1,4385.965,1,1,1,1,NA
"248",24.7,3562744.87422817,571.854956402738,5,0.1,4385.965,1,1,1,1,NA
"249",24.8,3581908.82342133,567.708745486119,5,0.1,4385.965,1,1,1,1,NA
